Zip Code,Population,Longitude,Latitude,Frequency
91324,25751,-118.55029,34.238208,5
91325,32307,-118.517588,34.236683,5
91326,28067,-118.556218,34.281911,5
91331,97318,-118.421314,34.255442,5
91335,68018,-118.540958,34.200175,5
91340,33389,-118.435969,34.286131,5
91342,81986,-118.399841,34.321621,5
91343,57017,-118.482296,34.238802,5
91344,48867,-118.505104,34.291273,5
91345,17112,-118.459744,34.266389,5
91350,40077,-118.41459,34.502432,5
91351,59259,-118.420717,34.422519,5
91352,46639,-118.338307,34.231053,5
91354,17846,-118.573726,34.457005,5
91355,24977,-118.644609,34.43987,5
91356,27424,-118.548511,34.157137,5
91360,42526,-118.88109,34.214054,5
91361,18735,-118.894673,34.130992,5
91362,33057,-118.822796,34.191842,5
91364,25988,-118.593408,34.153733,5
91367,36123,-118.615714,34.178068,5
91377,14814,-118.776874,34.19225,5
91381,9937,-118.615583,34.364153,5
91384,22177,-118.699048,34.506627,5
91401,40376,-118.431791,34.178483,5
91402,66249,,,0
91403,22085,-118.463365,34.147149,5
91405,51348,-118.448048,34.202494,5
91406,50047,-118.490752,34.195685,5
91411,23646,-118.459472,34.17847,5
91423,29387,-118.432138,34.146957,5
91436,13129,-118.486056,34.152875,5
91501,18112,-118.300942,34.188339,5
91502,11517,-118.31003,34.177267,5
91504,25882,-118.317651,34.213049,5
91505,29245,-118.345928,34.174215,5
91506,18539,-118.323548,34.169706,5
91601,36625,-118.372498,34.1692,4
91602,16996,-118.364786,34.15136,5
91604,26157,-118.39275,34.139082,5
91605,57146,-118.400022,34.207295,6
91606,45358,-118.387125,34.187599,5
91607,27453,-118.399795,34.165783,5
91701,39064,-117.611478,34.132275,5
91702,57775,-117.87068,34.174493,5
91706,76890,-117.967399,34.098275,5
91709,66754,-117.725644,33.942895,5
91710,75319,-117.663025,33.990646,5
91711,34716,-117.717863,34.127621,5
91722,33817,-117.906736,34.097345,5
91723,17554,-117.886844,34.084747,5
91724,25068,-117.853935,34.08111,5
91730,51970,-117.57882,34.10097,5
91731,30211,-118.046695,34.079934,5
91732,62660,-118.01462,34.074492,5
91733,45645,-118.053753,34.04622,5
91737,23079,-117.642503,34.245289,5
91739,12937,-117.523724,34.133809,5
91740,25135,-117.855059,34.119363,5
91741,24973,-117.849815,34.14649,5
91743,13,,,0
91744,84965,-117.936436,34.031441,4
91745,53686,-117.973758,33.998471,5
91746,30802,-117.991372,34.038983,5
91748,46342,-117.897367,33.976753,5
91750,35530,-117.770299,34.144703,5
91752,18980,-117.535395,33.999992,5
91754,33280,-118.147037,34.050322,5
91755,26933,-118.115022,34.049172,5
91759,47,-117.662032,34.231318,5
91761,56280,-117.591528,34.035602,5
91762,54254,-117.667677,34.057256,5
91763,34447,-117.698319,34.072121,5
91764,49474,-117.605618,34.074087,5
91765,46532,-117.807874,33.992416,5
91766,69974,-117.756106,34.042286,5
91767,46626,-117.737997,34.083086,5
91768,36057,-117.785168,34.067932,5
91770,61623,-118.082791,34.065108,5
91773,33878,-117.815532,34.102119,8
91775,23444,-118.089431,34.114772,4
91776,38041,-118.095645,34.089927,5
91780,32718,-118.055848,34.101608,5
91784,23331,-117.655583,34.141146,5
91786,48827,-117.660934,34.105493,5
91789,45118,-117.85492,34.018354,5
91790,44099,-117.937007,34.066964,5
91791,30458,-117.893169,34.061634,5
91792,31622,-117.898722,34.024405,5
91801,54382,-118.128164,34.090925,4
91803,30635,-118.145959,34.074736,5
91901,16486,-116.703729,32.827184,5
91902,17389,-117.00232,32.67117,4
91905,1509,-116.304991,32.677097,3
91906,3133,-116.472863,32.673483,4
91910,74025,-117.054989,32.636792,4
91911,71126,-117.059459,32.607964,5
91913,12884,-116.985026,32.64164,5
91914,2606,-116.938632,32.688506,4
91915,9278,-116.97595,32.605012,4
91916,1587,-116.635387,32.912664,5
91917,727,-116.687855,32.622999,4
91931,796,-116.561917,32.857946,4
91932,26662,-117.119009,32.579134,4
91934,699,-116.2237,32.649787,2
91935,8759,-116.798386,32.695681,3
91941,44652,-116.99726,32.759327,5
91942,24005,-117.01611,32.782501,5
91945,24961,-117.033713,32.733564,5
91948,81,-116.444601,32.830852,4
91950,62355,-117.095235,32.67102,5
91962,1604,-116.483363,32.800671,5
91963,905,-116.593605,32.619465,5
91977,56100,-116.994608,32.726627,5
91978,7863,-116.950963,32.730264,5
91980,91,-116.636816,32.587557,5
92003,3849,-117.202895,33.290907,4
92004,2863,-116.192313,33.200369,3
92007,10375,-117.272254,33.015866,4
92008,35582,-117.306043,33.148116,4
92009,43161,-117.258203,33.098018,4
92014,13945,-117.256086,32.948262,3
92019,40995,-116.862648,32.785165,4
92020,55277,-116.969082,32.79697,4
92021,61872,-116.873258,32.832706,4
92024,47126,-117.25665,33.054579,4
92025,49281,-117.033814,33.081478,5
92026,43436,-117.116916,33.21846,4
92027,48690,-116.967221,33.141265,38
92028,42239,-117.299644,33.362575,43
92029,17944,-117.134275,33.079834,4
92036,3577,-116.262854,32.980678,4
92037,42617,-117.25034,32.853743,4
92040,42277,-116.906774,32.909873,4
92054,98239,-117.420557,33.351059,5
92056,52895,-117.29032,33.194742,3
92057,46893,-117.285879,33.254497,3
92059,1831,-117.072619,33.384345,4
92060,234,-116.823091,33.309852,3
92061,2615,-116.940501,33.313828,3
92064,47969,-117.013454,32.984395,5
92065,33104,-116.833922,33.044541,4
92066,339,-116.53633,33.215251,4
92067,7615,-117.200617,33.012751,5
92069,52664,-117.170863,33.162624,4
92070,1143,-116.743329,33.174725,5
92071,53510,-116.997605,32.847336,3
92075,12173,-117.263628,33.001813,4
92078,6760,-117.166036,33.119028,4
92082,14575,-116.986079,33.25283,3
92083,62036,-117.242761,33.17494,4
92084,44692,-117.200024,33.22784,5
92086,1205,-116.626907,33.323705,5
92091,1072,-117.207121,32.99356,4
92101,27505,-117.171346,32.72523,4
92102,47140,-117.117462,32.716007,4
92103,30202,-117.166877,32.747484,3
92104,47689,-117.127409,32.741499,3
92105,73006,-117.090353,32.741859,2
92106,18525,-117.236378,32.71346,3
92107,27959,-117.243453,32.741852,5
92108,11650,-117.142454,32.774046,3
92109,46086,-117.232376,32.787836,27
92110,24169,-117.19938,32.76501,4
92111,46828,-117.169052,32.805518,5
92113,47431,-117.116587,32.697098,5
92114,66838,-117.05512,32.707892,5
92115,56887,-117.07245,32.762506,4
92116,33083,-117.122565,32.765299,4
92117,51213,-117.199424,32.825086,34
92118,24093,-117.186612,32.68674,5
92119,21866,-117.027095,32.802959,5
92120,25569,-117.060993,32.807867,5
92121,4258,-117.202937,32.898613,20
92122,34902,-117.209774,32.85723,36
92123,25232,-117.134694,32.808814,5
92124,30206,-117.089287,32.827238,5
92126,74232,-117.152162,32.886925,32
92127,20046,-117.118456,33.017518,5
92128,42733,-117.072093,33.000269,5
92129,47224,-117.134917,32.961064,16
92130,28201,-117.202542,32.957195,22
92131,29283,-117.087091,32.89325,5
92139,36351,-117.047666,32.677716,5
92154,68776,-117.012975,32.578103,4
92173,28488,-117.040073,32.555828,5
92201,56307,-116.237257,33.713891,4
92203,2743,-116.230055,33.752938,5
92210,3873,-116.291089,33.537646,3
92211,19702,-116.324817,33.762759,3
92220,25859,-116.849577,33.936298,5
92223,17721,-116.977672,33.946982,5
92225,24659,-114.71612,33.674583,4
92227,23394,-115.191857,33.03933,5
92230,2355,-116.76058,33.929812,5
92231,27804,-115.431225,32.690654,5
92233,7857,-115.497485,33.143826,5
92234,43141,-116.474131,33.829583,5
92236,23170,-116.171678,33.680031,4
92239,964,-115.257009,33.889605,5
92240,22796,-116.516976,33.948558,4
92241,5529,-116.250973,33.832799,5
92242,1564,-114.36514,34.137742,5
92243,43712,-115.60915,32.770393,5
92249,3535,-115.501083,32.730583,5
92250,8062,-115.152865,32.811001,2
92251,14546,-115.662709,32.858595,4
92252,8141,-116.281511,34.167236,4
92253,23971,-116.310571,33.695532,5
92254,8768,-115.993906,33.543835,5
92256,3499,-116.594561,34.097863,5
92257,2753,-115.596574,33.345825,3
92258,732,-116.569499,33.906496,4
92259,471,-115.886656,32.698964,4
92260,29340,-116.412711,33.694501,5
92262,24924,-116.659215,33.839989,4
92264,18884,-116.514215,33.745746,5
92266,291,-114.758334,33.3249,5
92267,131,-114.192901,34.273872,4
92268,354,-116.593456,34.201108,5
92270,12465,-116.429928,33.763678,5
92273,1632,-115.689559,32.790282,4
92274,17018,-116.119222,33.53604,4
92275,799,-115.955541,33.28156,5
92276,6242,-116.382778,33.849263,5
92277,17178,,,0
92278,14104,-116.139589,34.457829,5
92280,50,,,0
92281,2388,-115.60503,33.03679,4
92282,805,-116.654195,33.972293,5
92283,3663,-114.850784,32.852947,4
92284,20486,-116.425984,34.159534,5
92285,2182,-116.539416,34.341737,4
92301,18980,-117.536183,34.667815,5
92304,42,-115.637164,34.559882,5
92305,301,-116.86433,34.1678,4
92307,31876,,,0
92308,28819,-117.184503,34.424926,4
92309,904,-116.092214,35.28952,4
92310,9465,-116.770281,35.349241,4
92311,31293,-117.001509,34.965648,3
92313,11024,-117.307211,34.029175,4
92314,9899,-116.773825,34.278967,3
92315,5447,-116.89802,34.242058,4
92316,25995,-117.39104,34.059722,3
92317,2150,,,0
92318,227,,,0
92320,7334,-117.057627,33.982787,4
92321,455,-117.175654,34.255203,4
92323,40,,,0
92324,52202,-117.273201,34.030915,4
92325,10484,-117.29028,34.248061,4
92327,678,-116.821698,34.875144,4
92328,443,-117.033326,36.27688,4
92332,115,-115.287901,34.9436,4
92333,414,-116.937581,34.274846,4
92335,82630,-117.464096,34.087558,4
92336,54586,-117.460803,34.136367,4
92337,29847,-117.468896,34.049671,4
92338,23,-116.093376,34.702766,3
92339,958,-116.903891,34.067699,4
92341,317,-117.072654,34.244411,3
92342,4948,-117.33997,34.757783,4
92345,68515,-117.337509,34.361387,4
92346,48245,-117.154277,34.129677,3
92347,1933,-117.239306,34.983808,4
92352,9793,-117.19335,34.2565,4
92354,18068,-117.255974,34.049315,4
92356,5256,-116.856103,34.508417,4
92358,1090,-117.534306,34.238162,4
92359,7324,-117.04054,34.103578,4
92363,5488,-114.702256,34.711224,4
92364,162,-115.516984,35.478736,4
92365,2899,,,0
92368,909,-117.296957,34.647959,4
92371,12463,-117.537886,34.441123,4
92372,4280,-117.629729,34.459322,4
92373,31230,-117.138286,34.003243,4
92374,36675,-117.166158,34.064073,3
92376,75882,-117.378904,34.109775,4
92377,18518,-117.404686,34.156758,4
92382,5395,-117.07683,34.186211,4
92384,87,-116.188668,35.924252,4
92386,1834,-116.830015,34.243088,4
92389,117,,,0
92392,63235,-117.362274,34.486835,4
92394,12083,-117.362329,34.567058,4
92397,4253,-117.618263,34.358321,4
92398,1195,-116.834092,35.013299,4
92399,41575,-117.011825,34.04597,4
92401,1779,-117.2914,34.105935,4
92404,53636,-117.221722,34.183286,4
92405,24644,-117.300864,34.142747,4
92407,49355,-117.393949,34.250069,4
92408,12149,-117.258107,34.084909,4
92410,44556,-117.297553,34.106922,4
92411,23146,-117.320138,34.122501,4
92501,18999,-117.372498,33.994676,4
92503,71678,-117.455583,33.890046,4
92504,46550,-117.398153,33.9108,4
92505,38446,-117.489426,33.920907,4
92506,42425,-117.361788,33.930931,4
92507,48649,-117.319786,33.976328,4
92508,17147,-117.324959,33.885499,4
92509,63999,-117.447864,34.004379,4
92518,1005,-117.277533,33.888323,4
92530,38519,-117.391751,33.655421,4
92532,4546,-117.318204,33.705836,4
92536,2433,-116.827173,33.482243,4
92539,3745,-116.666551,33.527605,4
92543,29687,-116.968339,33.739415,4
92544,39264,-116.871544,33.644585,4
92545,25694,-117.044145,33.734933,4
92548,4283,-117.120868,33.761894,4
92549,3588,-116.741796,33.755039,4
92551,22983,-117.224878,33.88274,4
92553,61205,-117.244933,33.923149,4
92555,12743,-117.109972,33.907361,4
92557,46214,-117.255039,33.970661,4
92561,1500,-116.55783,33.638645,4
92562,36149,-117.334165,33.548869,4
92563,18311,-117.14719,33.581045,4
92567,7344,-117.102244,33.82769,4
92570,36817,-117.320676,33.787298,4
92571,26357,-117.201666,33.828289,4
92582,4456,-117.02007,33.806708,4
92583,21349,-116.924723,33.796568,4
92584,14068,-117.178271,33.653338,4
92585,8692,-117.173334,33.739412,4
92586,18161,-117.200006,33.707483,4
92587,13151,-117.25071,33.69887,4
92590,3070,-117.219551,33.475493,4
92591,25655,-117.10909,33.540604,4
92592,46171,-117.029473,33.507255,30
92595,19368,-117.253349,33.617108,4
92596,4093,-117.04254,33.657433,4
92602,2762,-117.733655,33.720359,4
92604,27369,-117.788091,33.688546,4
92606,17621,-117.824172,33.703976,4
92610,10936,-117.67768,33.698728,4
92612,41062,-117.810896,33.643095,4
92614,22499,-117.833296,33.680302,4
92618,6301,-117.732135,33.667145,4
92620,26419,-117.752574,33.716136,4
92624,7465,-117.665104,33.458754,4
92625,13422,-117.862734,33.600987,4
92626,48207,-117.905471,33.678591,4
92627,62069,-117.922613,33.645672,4
92629,27730,-117.705314,33.477923,4
92630,59176,-117.684254,33.644849,4
92646,56517,-117.969501,33.666301,4
92647,58764,-118.005441,33.723579,4
92648,42663,-118.016195,33.679659,4
92649,32304,-118.043237,33.721917,4
92651,25206,-117.773669,33.570023,4
92653,48273,-117.717854,33.606899,4
92655,8660,-117.98588,33.744439,4
92656,41237,-117.731917,33.571259,4
92657,5597,-117.821841,33.603282,4
92660,28687,-117.874882,33.634626,4
92661,4242,-117.902304,33.601309,4
92662,3124,-117.893042,33.606336,4
92663,22133,-117.927024,33.62251,4
92672,34946,-117.609432,33.429488,4
92673,15297,-117.584273,33.4725,4
92675,34321,-117.602555,33.521447,4
92676,1859,-117.635263,33.782346,4
92677,62103,-117.701175,33.529047,4
92679,32268,-117.567346,33.631119,4
92683,88230,-117.993661,33.752591,4
92688,42193,-117.611733,33.624654,4
92691,46371,-117.665867,33.611945,4
92692,46227,-117.644253,33.60693,4
92694,350,-117.640055,33.569186,4
92701,58157,-117.858918,33.748478,4
92703,70011,-117.906125,33.748635,4
92704,91188,-117.907063,33.719869,4
92705,44117,-117.786763,33.766004,4
92706,37879,-117.881533,33.765893,4
92707,62634,-117.872941,33.714829,4
92708,54548,-117.950113,33.712036,4
92780,55062,-117.818805,33.735802,4
92782,17494,-117.785046,33.738543,4
92801,60553,-117.952151,33.844983,4
92802,45086,-117.923782,33.807864,4
92804,81333,-117.974404,33.818,4
92805,68802,-117.906099,33.830209,4
92806,34398,-117.870494,33.83796,4
92807,36301,-117.788357,33.848733,4
92808,19629,-117.726668,33.850452,4
92821,34055,-117.862898,33.930199,4
92823,1408,-117.79387,33.924143,4
92831,34592,-117.895482,33.879983,4
92832,24502,-117.929029,33.868316,4
92833,46105,-117.961212,33.877639,4
92835,21157,-117.914922,33.902211,4
92840,50641,-117.931889,33.787165,4
92841,31428,-117.982564,33.786738,4
92843,43491,-117.931507,33.764018,4
92844,23481,-117.969795,33.766476,4
92845,15878,-118.026456,33.782955,4
92860,22443,-117.559639,33.925833,4
92861,5935,-117.810462,33.817473,4
92865,18058,-117.848299,33.828779,4
92866,15396,-117.844535,33.784597,4
92867,40915,-117.821288,33.81859,4
92868,23172,-117.875928,33.787796,4
92869,37916,-117.789749,33.792791,4
92870,48170,-117.854783,33.881158,4
92879,44875,-117.531446,33.893823,4
92880,16998,-117.617809,33.918043,4
92881,21911,-117.513063,33.833686,4
92882,60294,-117.600213,33.819385,4
92883,13188,-117.488725,33.762351,4
92886,39458,-117.792202,33.897253,4
92887,20893,-117.732197,33.884073,4
93001,32899,-119.306383,34.360261,4
93003,46894,-119.221437,34.279221,4
93004,27381,-119.167798,34.278697,4
93010,42853,-119.079903,34.227846,4
93012,24945,-118.993111,34.205504,4
93013,17409,-119.513163,34.441398,4
93015,16013,-118.865111,34.408161,4
93021,32984,-118.858169,34.312945,4
93022,6503,-119.302118,34.404544,4
93023,21633,-118.931948,34.581308,4
93030,79736,-119.18012,34.223244,4
93033,77791,-119.117218,34.156629,4
93035,25322,-119.224666,34.18454,4
93040,1459,-118.730106,34.432843,4
93041,25634,-119.100972,34.110124,4
93060,32511,-119.094824,34.402343,4
93063,49027,-118.685703,34.296813,4
93065,64802,-118.768471,34.269449,4
93066,2966,-119.014627,34.297628,4
93067,576,-119.60137,34.420998,4
93101,31727,-119.710008,34.419203,4
93103,20893,-119.685368,34.438581,4
93105,25771,-119.80079,34.037342,4
93108,12741,-119.631072,34.457541,4
93109,10986,-119.726936,34.406256,4
93110,15757,-119.77191,34.437945,4
93111,16477,-119.802602,34.460197,4
93117,49975,-120.091246,34.489983,4
93201,1054,-119.498771,35.869626,4
93202,2872,-119.710852,36.315979,4
93203,16206,-118.817644,35.116307,4
93204,14697,-120.129921,35.916943,4
93205,1954,-118.400432,35.523991,4
93206,2078,-119.488413,35.451402,4
93207,226,-118.69759,35.865795,4
93208,191,-118.591951,36.057458,4
93210,18036,-120.387793,36.186867,4
93212,23506,-119.532424,36.04533,4
93215,37280,-119.209689,35.772244,4
93216,4425,,,0
93218,823,-119.004073,35.846067,4
93219,9318,-119.305858,35.858054,4
93221,13333,-119.018233,36.301689,4
93222,1526,-119.234281,34.907911,4
93223,8644,-119.201028,36.29878,4
93224,626,-119.57013,35.215731,4
93225,4498,-118.999073,34.827662,4
93226,296,-118.738483,35.735694,4
93230,53204,-119.622676,36.29223,4
93234,6918,-120.080117,36.217864,4
93235,4517,-119.224243,36.385818,4
93238,1873,-118.397782,35.852892,4
93239,1809,-120.000951,35.996923,4
93240,5564,-118.466318,35.607875,4
93241,15364,-118.905553,35.245035,4
93242,2900,-119.718285,36.444232,4
93243,1247,-118.885163,34.845861,4
93244,293,-118.997291,36.462671,4
93245,30419,-119.825657,36.303666,4
93247,15508,-119.085807,36.205465,4
93249,2502,-119.893068,35.637715,4
93250,10781,-119.186717,35.666886,4
93251,302,-119.730885,35.38381,4
93252,4357,,,0
93254,798,-119.750142,34.956577,4
93255,655,,,0
93256,4198,-119.330928,35.957019,4
93257,65566,-118.891593,36.008958,4
93260,266,-118.636698,35.861928,4
93261,2956,-119.127437,35.809921,4
93262,56,-118.594938,36.527243,4
93263,15177,-119.286833,35.490705,4
93265,3546,-118.693138,36.245926,4
93266,1729,-119.813805,36.175255,4
93267,5689,-119.129075,36.141319,4
93268,14937,-119.402525,35.184837,4
93270,5868,-119.043666,35.939068,4
93271,2318,-118.854708,36.413433,4
93272,2951,,,0
93274,56101,-119.375243,36.185471,4
93276,236,-119.402559,35.316263,4
93277,44741,-119.375646,36.303793,4
93280,22760,-119.4464,35.652242,4
93282,63,,,0
93283,1935,-118.244914,35.55647,4
93285,2515,-118.552784,35.690535,3
93286,8870,-119.094348,36.464635,4
93287,88,-118.881679,35.710244,4
93291,36718,-119.372842,36.391777,4
93292,30395,-119.211689,36.37559,3
93301,12963,-119.020428,35.383937,4
93304,44588,-119.023552,35.339796,4
93305,35643,-118.984109,35.391733,4
93306,53481,-118.841442,35.449881,4
93307,59195,-118.962329,35.280113,4
93308,44915,-118.925185,35.559617,4
93309,58632,-119.064803,35.342891,4
93311,20440,-119.194488,35.16207,3
93312,40836,-119.245341,35.392599,4
93313,25126,-119.051348,35.140938,4
93401,27047,-120.626442,35.233745,4
93402,14859,-120.824288,35.279984,4
93405,31982,-120.727344,35.236549,3
93420,24499,-120.483243,35.176236,4
93422,29539,-120.69461,35.453912,4
93424,812,-120.728305,35.186644,4
93426,1363,-121.004862,35.842889,4
93427,4644,-120.238218,34.631362,4
93428,6526,-121.032256,35.591387,4
93429,210,-120.536546,34.866032,4
93430,3220,-120.918713,35.511833,4
93432,1203,-120.469476,35.480896,4
93433,13106,-120.61843,35.120833,4
93434,5726,-120.594655,34.936,4
93435,28,,,0
93436,51737,-120.382917,34.601055,3
93437,6165,-120.550507,34.757477,3
93440,1328,-120.275839,34.758699,3
93441,1317,-120.02609,34.70434,4
93442,10909,-120.763864,35.369553,4
93444,15405,-120.489599,35.050345,4
93445,7435,-120.604741,35.059695,3
93446,35586,-120.728341,35.634222,4
93447,804,,,0
93449,8564,-120.655842,35.165668,3
93450,670,-120.85305,35.996008,4
93451,2666,-120.608661,35.886767,4
93452,471,-121.223355,35.746484,4
93453,2687,-120.256567,35.303926,4
93454,30540,-120.256729,34.943523,4
93455,37364,-120.418784,34.818227,4
93458,43684,-120.490081,34.95934,4
